id_fuente,region,FNCE,Descuento_FNCE,GEE_final,Descuento_GEE,Sugerencia
142186.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142187.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142188.0,2,0.0,0.0,59375.0,59375.0,Considerar invertir en EFA
142189.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142190.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142191.0,1,0.0,0.0,606876.625,606876.625,Considerar invertir en EFA
142192.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142193.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142194.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142196.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142203.0,3,0.0,0.0,143096.125,143096.125,Considerar invertir en EFA
142205.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142206.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142207.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142209.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142210.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142211.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142212.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142213.0,2,0.0,0.0,49124.5,49124.5,Considerar invertir en EFA
142214.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142215.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142216.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142218.0,3,0.0,0.0,38584.25,38584.25,Considerar invertir en EFA
142219.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142223.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142226.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142227.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142229.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142233.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142235.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142240.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142241.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142243.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142247.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142248.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142249.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142251.0,2,0.0,0.0,18724.5,18724.5,Considerar invertir en EFA
142252.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142254.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142255.0,1,0.0,0.0,2375.0,2375.0,Considerar invertir en EFA
142256.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142258.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142259.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142260.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142264.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142268.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142287.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142290.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142294.0,4,0.0,0.0,26125.0,26125.0,Considerar invertir en EFA
142300.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142301.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142303.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142305.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142308.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142312.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142315.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142318.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142319.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142338.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142342.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142345.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142348.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142349.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142357.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142360.0,4,0.0,0.0,20500.0,22500.0,Considerar invertir en EFA
142361.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142367.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142374.0,4,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142376.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142379.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142385.0,2,0.0,0.0,926.25,926.25,Considerar invertir en EFA
142391.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142416.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142423.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142427.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142431.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142434.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142449.0,3,5376.5,5376.5,337099.5,342184.5,Considerar invertir en EFA
142452.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142458.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142463.0,1,0.0,0.0,26312.5,27812.5,Considerar invertir en EFA
142464.0,2,250.0,250.0,9375.0,9375.0,Considerar invertir en EFA
142467.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142475.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142477.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142480.0,1,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142481.0,3,0.0,0.0,7600.0,7600.0,Considerar invertir en EFA
142484.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142500.0,1,0.0,0.0,7362.5,7362.5,Considerar invertir en EFA
142504.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142505.0,5,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142509.0,3,0.0,0.0,0.0,0.0,Considerar invertir en EFA
142515.0,2,0.0,0.0,0.0,0.0,Considerar invertir en EFA
